rating,date,content,cleaned_content,month,season,tokens,review_length
5,2025-11-03,만족합니다.수요일에 쓰려고 주문했는데 벌써 도착했네요.빠른 배송 감사해요.도시락통도 잘 받았습니다.,만족합니다수요일에 쓰려고 주문했는데 벌써 도착했네요빠른 배송 감사해요도시락통도 잘 받았습니다,11,Fall,만족합니다수요일에 쓰려고 주문했는데 벌써 도착했네요빠른 배송 감사해요도시락통도 잘 받았습니다,51
5,2025-11-10,쿠폰쓰니 다른곳보다 더 싸네요 ㅎㅎ 행사하길레 샀어요 ㅎㅎ 넘싸게잘샀어요 맛있어요 작은캔입니다.,쿠폰쓰니 다른곳보다 더 싸네요 행사하길레 샀어요 넘싸게잘샀어요 맛있어요 작은캔입니다,11,Fall,쿠폰쓰니 다른곳보다 더 싸네요 행사하길레 샀어요 넘싸게잘샀어요 맛있어요 작은캔입니다,46
5,2025-11-08,떨어질라고 하면 행사가 있어서 항상 쟁여 놓네요 사은품 도시락도 허접하지 않고 마음에 듭니다,떨어질라고 하면 행사가 있어서 항상 쟁여 놓네요 사은품 도시락도 허접하지 않고 마음에 듭니다,11,Fall,떨어질라고 하면 행사가 있어서 항상 쟁여 놓네요 사은품 도시락도 허접하지 않고 마음에 듭니다,51
4,2025-11-03,코카콜라 제로 할인해서 싸게 잘 샀습니다.근데 리뉴얼 되기전 제로 콜라 로 보내주셨네요. ㅠㅠ 그게 아쉽네요.,코카콜라 제로 할인해서 싸게 잘 샀습니다근데 리뉴얼 되기전 제로 콜라 로 보내주셨네요 그게 아쉽네요,11,Fall,코카콜라 제로 할인해서 싸게 잘 샀습니다근데 리뉴얼 되기전 제로 콜라 로 보내주셨네요 그게 아쉽네요,55
5,2025-11-12,제로라 칼로리 신경 안쓰고 두캔이나 마셨네요맛있어요,제로라 칼로리 신경 안쓰고 두캔이나 마셨네요맛있어요,11,Fall,제로라 칼로리 신경 안쓰고 두캔이나 마셨네요맛있어요,28
5,2025-12-17,배송빠르고 제품도 좋아요 저렴하게 잘 구매했습니다,배송빠르고 제품도 좋아요 저렴하게 잘 구매했습니다,12,Winter,배송빠르고 제품도 좋아요 저렴하게 잘 구매했습니다,27
5,2025-11-11,"할인행사 때 저렴하게 구매했어요 마니 파세여,,,",할인행사 때 저렴하게 구매했어요 마니 파세여,11,Fall,할인행사 때 저렴하게 구매했어요 마니 파세여,24
5,2025-12-18,사이즈 작아 먹기 편해요 달력도 사이즈 좋아요,사이즈 작아 먹기 편해요 달력도 사이즈 좋아요,12,Winter,사이즈 작아 먹기 편해요 달력도 사이즈 좋아요,25
5,2025-09-30,기대안했는데 트레이가 사이즈 넉넉하고 좋네요ㅎㅎ코카콜라 사은품은 대체로 퀄리티가 좋은편인거 같아요~제로콜라는 항상 구비되어 있어야해서 행사하길래 구매했습니당ㅎ 잘먹을게요,기대안했는데 트레이가 사이즈 넉넉하고 좋네요코카콜라 사은품은 대체로 퀄리티가 좋은편인거 같아요제로콜라는 항상 구비되어 있어야해서 행사하길래 구매했습니당 잘먹을게요,9,Fall,기대안했는데 트레이가 사이즈 넉넉하고 좋네요코카콜라 사은품은 대체로 퀄리티가 좋은편인거 같아요제로콜라는 항상 구비되어 있어야해서 행사하길래 구매했습니당 잘먹을게요,90
5,2025-11-10,일반만 먹다가 제로 시켰는데재고털이인거 같네요유통기한이 일반상품보다 1년이나 빨라요,일반만 먹다가 제로 시켰는데재고털이인거 같네요유통기한이 일반상품보다 1년이나 빨라요,11,Fall,일반만 먹다가 제로 시켰는데재고털이인거 같네요유통기한이 일반상품보다 1년이나 빨라요,46
5,2025-11-04,저렴한 가격에 구입했네요~잘 마실께요~사은품으로 주신 도시락도 이뻐요감사합니당 ？？,저렴한 가격에 구입했네요잘 마실께요사은품으로 주신 도시락도 이뻐요감사합니당,11,Fall,저렴한 가격에 구입했네요잘 마실께요사은품으로 주신 도시락도 이뻐요감사합니당,41
5,2025-10-18,빠른 배송입니다.코카콜라제로 일반콜라랑 별반차이 없네요.아주 저렴하게 구매했네요.만족합니다.,빠른 배송입니다코카콜라제로 일반콜라랑 별반차이 없네요아주 저렴하게 구매했네요만족합니다,10,Fall,빠른 배송입니다코카콜라제로 일반콜라랑 별반차이 없네요아주 저렴하게 구매했네요만족합니다,47
3,2025-12-30,잘받았습니다. 한동안 잘먹을거같습니다.,잘받았습니다 한동안 잘먹을거같습니다,12,Winter,잘받았습니다 한동안 잘먹을거같습니다,19
5,2025-07-24,거의 매일 마시는 콜라인데 할인행사할 때 저렴하게 잘 구매했어요. 냉장고에 몇캔씩 넣어놓고 시원하게 한캔씩 마시면 극락입니다.,거의 매일 마시는 콜라인데 할인행사할 때 저렴하게 잘 구매했어요 냉장고에 몇캔씩 넣어놓고 시원하게 한캔씩 마시면 극락입니다,7,Summer,거의 매일 마시는 콜라인데 할인행사할 때 저렴하게 잘 구매했어요 냉장고에 몇캔씩 넣어놓고 시원하게 한캔씩 마시면 극락입니다,68
5,2025-07-16,190ml×60개 파손없이 잘 받았습니다탄산음료 마시고 싶을때 적은 용량 한번에 마시기 좋아요,190ml60개 파손없이 잘 받았습니다탄산음료 마시고 싶을때 적은 용량 한번에 마시기 좋아요,7,Summer,190ml60개 파손없이 잘 받았습니다탄산음료 마시고 싶을때 적은 용량 한번에 마시기 좋아요,51
4,2025-12-16,캔에 들어서 더 시원하게 먹을수있고 양도 딱 한번에 먹기에 적당한 190ml여서 계속 재구매하고있어요. 처음으로 일부 누락된 채로 배송이 돼서 귀찮아지긴했지만 그래도 문의 후에 곧바로 다시 보내주셨네요.,캔에 들어서 더 시원하게 먹을수있고 양도 딱 한번에 먹기에 적당한 190ml여서 계속 재구매하고있어요 처음으로 일부 누락된 채로 배송이 돼서 귀찮아지긴했지만 그래도 문의 후에 곧바로 다시 보내주셨네요,12,Winter,캔에 들어서 더 시원하게 먹을수있고 양도 딱 한번에 먹기에 적당한 190ml여서 계속 재구매하고있어요 처음으로 일부 누락된 채로 배송이 돼서 귀찮아지긴했지만 그래도 문의 후에 곧바로 다시 보내주셨네요,111
5,2025-12-24,탄산이 빠질 염려없고 사이즈도 딱맞아 가까운마트에서 자주 구입했는데 우연히 지마켓에 검색하다보니 너무 저렴해서 구입했습니다.덤으로 2026년 달력도 주시고 너무 감사합니다.,탄산이 빠질 염려없고 사이즈도 딱맞아 가까운마트에서 자주 구입했는데 우연히 지마켓에 검색하다보니 너무 저렴해서 구입했습니다덤으로 2026년 달력도 주시고 너무 감사합니다,12,Winter,탄산이 빠질 염려없고 사이즈도 딱맞아 가까운마트에서 자주 구입했는데 우연히 지마켓에 검색하다보니 너무 저렴해서 구입했습니다덤으로 2026년 달력도 주시고 너무 감사합니다,94
5,2026-01-09,저는 일년에 콜라 한 캔을 먹을까 하는데 남편과 아들은 하루에 한 캔씩 먹으니 못 먹게 할 수도 없고 조금이라도 싼 가격에 구매 할 수 밖에 없네요...ㅎㅎㅎ,저는 일년에 콜라 한 캔을 먹을까 하는데 남편과 아들은 하루에 한 캔씩 먹으니 못 먹게 할 수도 없고 조금이라도 싼 가격에 구매 할 수 밖에 없네요,1,Winter,저는 일년에 콜라 한 캔을 먹을까 하는데 남편과 아들은 하루에 한 캔씩 먹으니 못 먹게 할 수도 없고 조금이라도 싼 가격에 구매 할 수 밖에 없네요,82
